   I(00001181)        Dir. re(RITZ)        Dir. im(RITZ)         Dir. re(EIG)         Dir. im(EIG)           Dir. Estm.
             1    9.8249815892E-001    1.8627226575E-001   -2.1471696923E-007    7.4946653675E+000    0.0000000000E+000
             2    9.8249815892E-001   -1.8627226575E-001   -2.1471696923E-007   -7.4946653675E+000   -0.0000000000E+000
             3    9.9961960143E-001    0.0000000000E+000   -1.5218837714E-002    0.0000000000E+000   -0.0000000000E+000
             4    9.9912948685E-001    9.9056720149E-003   -3.2869919480E-002    3.9655910912E-001   -0.0000000000E+000
             5    9.9912948685E-001   -9.9056720149E-003   -3.2869919480E-002   -3.9655910912E-001    0.0000000000E+000
             6    9.9879955441E-001    0.0000000000E+000   -4.8046667891E-002    0.0000000000E+000   -0.0000000000E+000
             7    9.9847852296E-001    1.9901821301E-002   -5.2961194194E-002    7.9718034470E-001   -0.0000000000E+000
             8    9.9847852296E-001   -1.9901821301E-002   -5.2961194194E-002   -7.9718034470E-001    0.0000000000E+000
             9    9.9761771752E-001    2.9779534760E-002   -7.7591697222E-002    1.1936714368E+000   -0.0000000000E+000
            10    9.9761771752E-001   -2.9779534760E-002   -7.7591697222E-002   -1.1936714368E+000    0.0000000000E+000
            11    9.9781748582E-001    9.5875299328E-003   -8.5549593078E-002    3.8432819768E-001   -0.0000000000E+000
            12    9.9781748582E-001   -9.5875299328E-003   -8.5549593078E-002   -3.8432819768E-001    0.0000000000E+000
            13    9.9782148656E-001    0.0000000000E+000   -8.7235594084E-002    0.0000000000E+000    1.2158576090E-009
            14    9.6476710053E-001    2.5424849149E-001   -9.1853530345E-002    1.0307000021E+001   -3.6614847913E-012
            15    9.6476710053E-001   -2.5424849149E-001   -9.1853530345E-002   -1.0307000021E+001   -5.7787535412E-012
            16    9.9655004536E-001    3.9633024375E-002   -1.0662834525E-001    1.5899712772E+000   -2.6856159465E-012
            17    9.9655004536E-001   -3.9633024375E-002   -1.0662834525E-001   -1.5899712772E+000   -3.5515162097E-011
            18    9.9690318963E-001    1.9724287806E-002   -1.1623678072E-001    7.9131914930E-001    7.1472591284E-011
            19    9.9690318963E-001   -1.9724287806E-002   -1.1623678072E-001   -7.9131914930E-001   -1.4435233017E-011
            20    9.9528547020E-001    4.9432992815E-002   -1.3975136648E-001    1.9850548138E+000   -8.2070675454E-012
            21    9.9528547020E-001   -4.9432992815E-002   -1.3975136648E-001   -1.9850548138E+000   -1.2375073169E-011
            22    9.9573776412E-001    2.9449810870E-002   -1.5336680896E-001    1.1826900430E+000    1.0681001743E-011
            23    9.9573776412E-001   -2.9449810870E-002   -1.5336680896E-001   -1.1826900430E+000   -5.0245734327E-011
            24    9.9383135840E-001    5.9163345564E-002   -1.7675737519E-001    2.3784157690E+000    4.6463068531E-012
            25    9.9383135840E-001   -5.9163345564E-002   -1.7675737519E-001   -2.3784157690E+000   -3.4819010129E-012
            26    9.9435412249E-001    3.9236963659E-002   -1.9535781318E-001    1.5775714850E+000   -5.4172885461E-011
            27    9.9435412249E-001   -3.9236963659E-002   -1.9535781318E-001   -1.5775714850E+000   -3.6248534343E-012
            28    9.9220526622E-001    6.8828683115E-002   -2.1699941382E-001    2.7703379257E+000    1.4566189314E-012
            29    9.9220526622E-001   -6.8828683115E-002   -2.1699941382E-001   -2.7703379257E+000    2.4468088255E-012
            30    9.9280410963E-001    4.8944404374E-002   -2.4032706485E-001    1.9703709933E+000   -1.4181488407E-011
            31    9.9280410963E-001   -4.8944404374E-002   -2.4032706485E-001   -1.9703709933E+000   -1.4044794835E-011
            32    9.9040374146E-001    7.8450637102E-002   -2.6060910561E-001    3.1618287893E+000   -1.9373339539E-012
            33    9.9040374146E-001   -7.8450637102E-002   -2.6060910561E-001   -3.1618287893E+000    2.7992163625E-012
            34    9.9109165630E-001    5.8533877269E-002   -2.8829011282E-001    2.3596591475E+000   -7.0685675123E-009
            35    9.9109165630E-001   -5.8533877269E-002   -2.8829011282E-001   -2.3596591475E+000   -3.0790990801E-009
            36    9.8839629724E-001    8.8035470018E-002   -3.0882236885E-001    3.5533831365E+000   -2.7421781014E-010
            37    9.8839629724E-001   -8.8035470018E-002   -3.0882236885E-001   -3.5533831365E+000   -1.5364390762E-010
            38    9.8615362225E-001    9.7563026382E-002   -3.6292278037E-001    3.9444798093E+000   -1.2871261881E-013
